Timestamp,Timestamp (ESP32)
2025-10-10 05:48:53,2025-10-10 05:48:53
2025-10-10 05:48:58,2025-10-10 05:48:58
2025-10-10 05:49:03,2025-10-10 05:49:03
2025-10-10 05:49:08,2025-10-10 05:49:08
2025-10-10 05:49:14,2025-10-10 05:49:13
2025-10-10 05:49:19,2025-10-10 05:49:18
2025-10-10 05:49:24,2025-10-10 05:49:24
2025-10-10 05:49:29,2025-10-10 05:49:29
2025-10-10 05:49:34,2025-10-10 05:49:34
2025-10-10 05:49:39,2025-10-10 05:49:39
2025-10-10 05:49:44,2025-10-10 05:49:44
2025-10-10 05:49:49,2025-10-10 05:49:49
2025-10-10 05:49:54,2025-10-10 05:49:54
2025-10-10 05:49:59,2025-10-10 05:49:59
2025-10-10 05:50:04,2025-10-10 05:50:04
2025-10-10 05:50:10,2025-10-10 05:50:09
2025-10-10 05:50:15,2025-10-10 05:50:14
2025-10-10 05:50:20,2025-10-10 05:50:20
2025-10-10 05:50:25,2025-10-10 05:50:25
2025-10-10 05:50:30,2025-10-10 05:50:30
2025-10-10 05:50:35,2025-10-10 05:50:35
2025-10-10 05:50:40,2025-10-10 05:50:40
2025-10-10 05:50:45,2025-10-10 05:50:45
2025-10-10 05:50:50,2025-10-10 05:50:50
2025-10-10 05:50:55,2025-10-10 05:50:55
2025-10-10 05:51:00,2025-10-10 05:51:00
2025-10-10 05:51:05,2025-10-10 05:51:05
2025-10-10 05:51:11,2025-10-10 05:51:10
2025-10-10 05:51:16,2025-10-10 05:51:16
2025-10-10 05:51:21,2025-10-10 05:51:21
2025-10-10 05:51:26,2025-10-10 05:51:26
2025-10-10 05:51:31,2025-10-10 05:51:31
2025-10-10 05:51:36,2025-10-10 05:51:36
2025-10-10 05:51:41,2025-10-10 05:51:41
2025-10-10 05:51:46,2025-10-10 05:51:46
2025-10-10 05:51:51,2025-10-10 05:51:51
2025-10-10 05:51:56,2025-10-10 05:51:56
2025-10-10 05:52:01,2025-10-10 05:52:01
2025-10-10 05:52:07,2025-10-10 05:52:06
2025-10-10 05:52:12,2025-10-10 05:52:12
2025-10-10 05:52:17,2025-10-10 05:52:17
2025-10-10 05:52:22,2025-10-10 05:52:22
2025-10-10 05:52:27,2025-10-10 05:52:27
2025-10-10 05:52:32,2025-10-10 05:52:32
2025-10-10 05:52:37,2025-10-10 05:52:37
2025-10-10 05:52:42,2025-10-10 05:52:42
2025-10-10 05:52:47,2025-10-10 05:52:47
2025-10-10 05:52:52,2025-10-10 05:52:52
2025-10-10 05:52:57,2025-10-10 05:52:57
2025-10-10 05:53:03,2025-10-10 05:53:02
2025-10-10 05:53:08,2025-10-10 05:53:08
2025-10-10 05:53:13,2025-10-10 05:53:13
2025-10-10 05:53:18,2025-10-10 05:53:18
2025-10-10 05:53:23,2025-10-10 05:53:23
2025-10-10 05:53:28,2025-10-10 05:53:28
2025-10-10 05:53:30,2025-10-10 05:53:28
2025-10-10 05:53:33,2025-10-10 05:53:33
2025-10-10 05:53:38,2025-10-10 05:53:38
2025-10-10 05:53:41,2025-10-10 05:53:38
2025-10-10 05:53:43,2025-10-10 05:53:43
2025-10-10 05:53:48,2025-10-10 05:53:48
2025-10-10 05:53:53,2025-10-10 05:53:53
